X축 우선순위,총계,,,,,,,,,
나이별,연도,합계(명),전년도(명),성장률(%),구성비(%),목적별,,,,
,,,,,,관광,상용,공용,유학연수,기타
11 ~ 20,2015년 05월,38897,35143,0.107,0,35426,82,266,1640,1483
11 ~ 20,2015년 06월,34979,71480,-0.511,0,28731,45,154,3852,2197
11 ~ 20,2015년 07월,44747,156281,-0.714,0,40872,89,384,982,2420
11 ~ 20,2015년 08월,92838,167732,-0.447,0.001,77533,56,421,11680,3148
11 ~ 20,2015년 09월,37847,41381,-0.085,0,29690,82,118,6783,1174
11 ~ 20,2015년 10월,34249,35470,-0.034,0,31575,66,125,1380,1103
11 ~ 20,2015년 11월,32487,31736,0.024,0,28472,64,277,2588,1086
11 ~ 20,2015년 12월,68392,65508,0.044,0,61036,52,261,4566,2477
11 ~ 20,2016년 01월,70195,45038,0.559,0,66670,19,303,1252,1951
11 ~ 20,2016년 02월,73793,80621,-0.085,0,63761,33,109,8644,1246
11 ~ 20,2016년 03월,68181,56131,0.215,0,59896,27,127,5859,2272
11 ~ 20,2016년 04월,39835,38457,0.036,0,36727,30,441,1084,1553
11 ~ 20,2016년 05월,47621,38897,0.224,0,43357,40,320,2466,1438
